"authors","title","journal","issue","volume","pages","article_no","doi","doctype","year","date","database","ExportDate"
"Sato, Y., Caston, J.R., Suzuki, N.","The biological attributes, genome architecture and packaging of diverse  multi-component fungal viruses.","Current opinion in virology",NA,"33","55-65","S1879-6257(18)30057-9 [pii]","10.1016/j.coviro.2018.07.009","Journal Article","2018","Dec","PubMed",2024-01-29
"Ogita, S., Nomura, T., Kato, Y., Uehara-Yamaguchi, Y., Inoue, K., Yoshida, T., Sakurai, T., Shinozaki, K., Mochida, K.","Transcriptional alterations during proliferation and lignification in  Phyllostachys nigra cells.","Scientific reports","1","8","11347","10.1038/s41598-018-29645-7 [doi]","10.1038/s41598-018-29645-7","Journal Article","2018","Jul 27","PubMed",2024-01-29
"Mori, I.C., Nobukiyo, Y., Nakahara, Y., Shibasaka, M., Furuichi, T., Katsuhara, M.","A Cyclic Nucleotide-Gated Channel, HvCNGC2-3, Is Activated by the Co-Presence of  Na(+) and K(+) and Permeable to Na(+) and K(+) Non-Selectively.","Plants (Basel, Switzerland)","3","7",NA,"10.3390/plants7030061 [doi]","10.3390/plants7030061","Journal Article","2018","Jul 26","PubMed",2024-01-29
"Hirayama, T., Lei, G.J., Yamaji, N., Nakagawa, N., Ma, J.F.","The Putative Peptide Gene FEP1 Regulates Iron Deficiency Response in Arabidopsis.","Plant & cell physiology","9","59","1739-1752","10.1093/pcp/pcy145 [doi]","10.1093/pcp/pcy145","Journal Article","2018","Sep 1","PubMed",2024-01-29
"Li, L., Andika, I.B., Xu, Y., Zhang, Y., Xin, X., Hu, L., Sun, Z., Hong, G., Chen, Y., Yan, F., Yang, J., Li, J., Chen, J.","Corrigendum: Differential Characteristics of Viral siRNAs Between Leaves and  Roots of Wheat Plants Naturally Infected with Wheat Yellow Mosaic Virus, a  Soil-Borne Virus.","Frontiers in microbiology",NA,"9","1477","10.3389/fmicb.2018.01477 [doi]","10.3389/fmicb.2018.01477","Published Erratum","2018","","PubMed",2024-01-29
"Kato, Y., Sakamoto, W.","FtsH Protease in the Thylakoid Membrane: Physiological Functions and the  Regulation of Protease Activity.","Frontiers in plant science",NA,"9","855","10.3389/fpls.2018.00855 [doi]","10.3389/fpls.2018.00855","Journal Article","2018","","PubMed",2024-01-29
"Zhang, C., Lu, W., Yang, Y., Shen, Z., Ma, J.F., Zheng, L.","OsYSL16 is Required for Preferential Cu Distribution to Floral Organs in Rice.","Plant & cell physiology","10","59","2039-2051","10.1093/pcp/pcy124 [doi]","10.1093/pcp/pcy124","Journal Article","2018","Oct 1","PubMed",2024-01-29
"Lv, H., Tani, A.","Genomic characterization of methylotrophy of Oharaeibacter diazotrophicus  strain SM30(T).","Journal of bioscience and bioengineering","6","126","667-675","S1389-1723(17)31256-2 [pii]","10.1016/j.jbiosc.2018.05.023","Journal Article","2018","Dec","PubMed",2024-01-29
"Fujitani, Y., Alamgir, K.M., Tani, A.","Ergothioneine production using Methylobacterium species, yeast, and fungi.","Journal of bioscience and bioengineering","6","126","715-722","S1389-1723(18)30295-0 [pii]","10.1016/j.jbiosc.2018.05.021","Journal Article","2018","Dec","PubMed",2024-01-29
"Che, J., Tsutsui, T., Yokosho, K., Yamaji, N., Ma, J.F.","Functional characterization of an aluminum (Al)-inducible transcription factor,  ART2, revealed a different pathway for Al tolerance in rice.","The New phytologist","1","220","209-218","10.1111/nph.15252 [doi]","10.1111/nph.15252","Journal Article","2018","Oct","PubMed",2024-01-29
"Nishimura, N., Tsuchiya, W., Moresco, J.J., Hayashi, Y., Satoh, K., Kaiwa, N., Irisa, T., Kinoshita, T., Schroeder, J.I., Yates, J.R.3., Hirayama, T., Yamazaki, T.","Control of seed dormancy and germination by DOG1-AHG1 PP2C phosphatase complex  via binding to heme.","Nature communications","1","9","2132","10.1038/s41467-018-04437-9 [doi]","10.1038/s41467-018-04437-9","Journal Article","2018","Jun 6","PubMed",2024-01-29
"Sakamoto, W., Takami, T.","Chloroplast DNA Dynamics: Copy Number, Quality Control and Degradation.","Plant & cell physiology","6","59","1120-1127","10.1093/pcp/pcy084 [doi]","10.1093/pcp/pcy084","Journal Article","2018","Jun 1","PubMed",2024-01-29
"Sun, S., Chen, Y., Che, J., Konishi, N., Tang, Z., Miller, A.J., Ma, J.F., Zhao, F.","Decreasing arsenic accumulation in rice by overexpressing OsNIP1;1 and OsNIP3;3  through disrupting arsenite radial transport in roots.","The New phytologist","2","219","641-653","10.1111/nph.15190 [doi]","10.1111/nph.15190","Journal Article","2018","Jul","PubMed",2024-01-29
"Nakamura, S., Hidema, J., Sakamoto, W., Ishida, H., Izumi, M.","Selective Elimination of Membrane-Damaged Chloroplasts via Microautophagy.","Plant physiology","3","177","1007-1026","10.1104/pp.18.00444 [doi]","10.1104/pp.18.00444","Journal Article","2018","Jul","PubMed",2024-01-29
"Ohashi, M., Ishiyama, K., Kojima, S., Konishi, N., Sasaki, K., Miyao, M., Hayakawa, T., Yamaya, T.","Outgrowth of Rice Tillers Requires Availability of Glutamine in the Basal  Portions of Shoots.","Rice (New York, N.Y.)","1","11","31","10.1186/s12284-018-0225-2 [doi]","10.1186/s12284-018-0225-2","Journal Article","2018","May 9","PubMed",2024-01-29
"Tominaga, J., Nakahara, Y., Horikawa, D., Tanaka, A., Kondo, M., Kamei, Y., Takami, T., Sakamoto, W., Unno, K., Sakamoto, A., Shimada, H.","Overexpression of the protein disulfide isomerase AtCYO1 in chloroplasts slows  dark-induced senescence in Arabidopsis.","BMC plant biology","1","18","80","10.1186/s12870-018-1294-5 [doi]","10.1186/s12870-018-1294-5","Journal Article","2018","May 4","PubMed",2024-01-29
"Frost, J.M., Kim, M.Y., Park, G.T., Hsieh, P., Nakamura, M., Lin, S.J.H., Yoo, H., Choi, J., Ikeda, Y., Kinoshita, T., Choi, Y., Zilberman, D., Fischer, R.L.","FACT complex is required for DNA demethylation at heterochromatin during  reproduction in Arabidopsis.","Proceedings of the National Academy of Sciences of the United States of America","20","115","E4720-E4729","10.1073/pnas.1713333115 [doi]","10.1073/pnas.1713333115","Journal Article","2018","May 15","PubMed",2024-01-29
"Tsunemitsu, Y., Genga, M., Okada, T., Yamaji, N., Ma, J.F., Miyazaki, A., Kato, S., Iwasaki, K., Ueno, D.","A member of cation diffusion facilitator family, MTP11, is required for manganese  tolerance and high fertility in rice.","Planta","1","248","231-241","10.1007/s00425-018-2890-1 [doi]","10.1007/s00425-018-2890-1","Journal Article","2018","Jul","PubMed",2024-01-29
"Takahagi, K., Inoue, K., Shimizu, M., Uehara-Yamaguchi, Y., Onda, Y., Mochida, K.","Homoeolog-specific activation of genes for heat acclimation in the allopolyploid  grass Brachypodium hybridum.","GigaScience","4","7",NA,"10.1093/gigascience/giy020 [doi]","10.1093/gigascience/giy020","Journal Article","2018","Apr 1","PubMed",2024-01-29
"Nishimura, K., Matsushita, T., Shikanai, T., Sakamoto, W.","Taiwan-Japan Plant Biology 2017 Spotlight Issue: From Light Signals/Signaling to  Photosynthesis and Chloroplast Development.","Plant & cell physiology","6","59","1099-1103","10.1093/pcp/pcy077 [doi]","10.1093/pcp/pcy077","Journal Article","2018","Jun 1","PubMed",2024-01-29
"Tamura, K., Yoshida, K., Hiraoka, Y., Sakaguchi, D., Chikugo, A., Mochida, K., Kojoma, M., Mitsuda, N., Saito, K., Muranaka, T., Seki, H.","The Basic Helix-Loop-Helix Transcription Factor GubHLH3 Positively Regulates  Soyasaponin Biosynthetic Genes in Glycyrrhiza uralensis.","Plant & cell physiology","4","59","778-791","10.1093/pcp/pcy046 [doi]","10.1093/pcp/pcy046","Journal Article","2018","Apr 1","PubMed",2024-01-29
"Amarasinghe, G.K., Arechiga Ceballos, N.G., Banyard, A.C., Basler, C.F., Bavari, S., Bennett, A.J., Blasdell, K.R., Briese, T., Bukreyev, A., Cai, Y., Calisher, C.H., Campos Lawson, C., Chandran, K., Chapman, C.A., Chiu, C.Y., Choi, K., Collins, P.L., Dietzgen, R.G., Dolja, V.V., Dolnik, O., Domier, L.L., Durrwald, R., Dye, J.M., Easton, A.J., Ebihara, H., Echevarria, J.E., Fooks, A.R., Formenty, P.B.H., Fouchier, R.A.M., Freuling, C.M., Ghedin, E., Goldberg, T.L., Hewson, R., Horie, M., Hyndman, T.H., Jiang, D., Kityo, R., Kobinger, G.P., Kondo, H., Koonin, E.V., Krupovic, M., Kurath, G., Lamb, R.A., Lee, B., Leroy, E.M., Maes, P., Maisner, A., Marston, D.A., Mor, S.K., Muller, T., Muhlberger, E., Ramirez, V.M.N., Netesov, S.V., Ng, T.F.F., Nowotny, N., Palacios, G., Patterson, J.L., Paweska, J.T., Payne, S.L., Prieto, K., Rima, B.K., Rota, P., Rubbenstroth, D., Schwemmle, M., Siddell, S., Smither, S.J., Song, Q., Song, T., Stenglein, M.D., Stone, D.M., Takada, A., Tesh, R.B., Thomazelli, L.M., Tomonaga, K., Tordo, N., Towner, J.S., Vasilakis, N., Vazquez-Moron, S., Verdugo, C., Volchkov, V.E., Wahl, V., Walker, P.J., Wang, D., Wang, L., Wellehan, J.F.X., Wiley, M.R., Whitfield, A.E., Wolf, Y.I., Ye, G., Zhang, Y., Kuhn, J.H.","Taxonomy of the order Mononegavirales: update 2018.","Archives of virology","8","163","2283-2294","10.1007/s00705-018-3814-x [doi]","10.1007/s00705-018-3814-x","Journal Article","2018","Aug","PubMed",2024-01-29
"Che, J., Yamaji, N., Ma, J.F.","Efficient and flexible uptake system for mineral elements in plants.","The New phytologist","2","219","513-517","10.1111/nph.15140 [doi]","10.1111/nph.15140","Journal Article","2018","Jul","PubMed",2024-01-29
"Ohnishi, N., Zhang, L., Sakamoto, W.","VIPP1 Involved in Chloroplast Membrane Integrity Has GTPase Activity in Vitro.","Plant physiology","1","177","328-338","10.1104/pp.18.00145 [doi]","10.1104/pp.18.00145","Journal Article","2018","May","PubMed",2024-01-29
"Suzuki, N., Ghabrial, S.A., Kim, K., Pearson, M., Marzano, S.L., Yaegashi, H., Xie, J., Guo, L., Kondo, H., Koloniuk, I., Hillman, B.I., Ictv Report Consortium, NA.","ICTV Virus Taxonomy Profile: Hypoviridae.","The Journal of general virology","5","99","615-616","10.1099/jgv.0.001055 [doi]","10.1099/jgv.0.001055","Journal Article","2018","May","PubMed",2024-01-29
"Shao, J.F., Xia, J., Yamaji, N., Shen, R.F., Ma, J.F.","Effective reduction of cadmium accumulation in rice grain by expressing OsHMA3  under the control of the OsHMA2 promoter.","Journal of experimental botany","10","69","2743-2752","10.1093/jxb/ery107 [doi]","10.1093/jxb/ery107","Journal Article","2018","Apr 27","PubMed",2024-01-29
"Chiba, S., Jamal, A., Suzuki, N.","First Evidence for Internal Ribosomal Entry Sites in Diverse Fungal Virus  Genomes.","mBio","2","9",NA,"10.1128/mBio.02350-17 [doi]","10.1128/mBio.02350-17","Journal Article","2018","Mar 20","PubMed",2024-01-29
"Hillman, B.I., Annisa, A., Suzuki, N.","Viruses of Plant-Interacting Fungi.","Advances in virus research",NA,"100","99-116","S0065-3527(17)30025-8 [pii]","10.1016/bs.aivir.2017.10.003","Journal Article","2018","","PubMed",2024-01-29
"Wang, L., He, H., Wang, S., Chen, X., Qiu, D., Kondo, H., Guo, L.","Evidence for a novel negative-stranded RNA mycovirus isolated from the plant  pathogenic fungus Fusarium graminearum.","Virology",NA,"518","232-240","S0042-6822(18)30086-2 [pii]","10.1016/j.virol.2018.03.008","Journal Article","2018","May","PubMed",2024-01-29
"Ekimova, G.A., Fedorov, D.N., Tani, A., Doronina, N.V., Trotsenko, Y.A.","Distribution of 1-aminocyclopropane-1-carboxylate deaminase and D-cysteine  desulfhydrase genes among type species of the genus Methylobacterium.","Antonie van Leeuwenhoek","10","111","1723-1734","10.1007/s10482-018-1061-5 [doi]","10.1007/s10482-018-1061-5","Journal Article","2018","Oct","PubMed",2024-01-29
"Shinya, T., Yasuda, S., Hyodo, K., Tani, R., Hojo, Y., Fujiwara, Y., Hiruma, K., Ishizaki, T., Fujita, Y., Saijo, Y., Galis, I.","Integration of danger peptide signals with herbivore-associated molecular pattern  signaling amplifies anti-herbivore defense responses in rice.","The Plant journal : for cell and molecular biology","4","94","626-637","10.1111/tpj.13883 [doi]","10.1111/tpj.13883","Journal Article","2018","May","PubMed",2024-01-29
"Wang, S., Mitani-Ueno, N., Takano, J.","Boron Uptake Assay in Xenopus laevis Oocytes.","Bio-protocol","5","8","e2755","10.21769/BioProtoc.2755 [doi]","10.21769/BioProtoc.2755","Journal Article","2018","Mar 5","PubMed",2024-01-29
"Deng, F., Yamaji, N., Ma, J.F., Lee, S., Jeon, J., Martinoia, E., Lee, Y., Song, W.","Engineering rice with lower grain arsenic.","Plant biotechnology journal","10","16","1691-1699","10.1111/pbi.12905 [doi]","10.1111/pbi.12905","Journal Article","2018","Oct","PubMed",2024-01-29
"Walker, P.J., Blasdell, K.R., Calisher, C.H., Dietzgen, R.G., Kondo, H., Kurath, G., Longdon, B., Stone, D.M., Tesh, R.B., Tordo, N., Vasilakis, N., Whitfield, A.E., Ictv Report Consortium, NA.","ICTV Virus Taxonomy Profile: Rhabdoviridae.","The Journal of general virology","4","99","447-448","10.1099/jgv.0.001020 [doi]","10.1099/jgv.0.001020","Journal Article","2018","Apr","PubMed",2024-01-29
"Nguyen, Q., Iritani, A., Ohkita, S., Vu, B.V., Yokoya, K., Matsubara, A., Ikeda, K., Suzuki, N., Nakayashiki, H.","A fungal Argonaute interferes with RNA interference.","Nucleic acids research","5","46","2698","10.1093/nar/gky078 [doi]","10.1093/nar/gky078","Journal Article","2018","Mar 16","PubMed",2024-01-29
"Lv, H., Sahin, N., Tani, A.","Isolation and genomic characterization of Novimethylophilus kurashikiensis gen.  nov. sp. nov., a new lanthanide-dependent methylotrophic species of  Methylophilaceae.","Environmental microbiology","3","20","1204-1223","10.1111/1462-2920.14062 [doi]","10.1111/1462-2920.14062","Journal Article","2018","Mar","PubMed",2024-01-29
"Arjona-Lopez, J.M., Telengech, P., Jamal, A., Hisano, S., Kondo, H., Yelin, M.D., Arjona-Girona, I., Kanematsu, S., Lopez-Herrera, C.J., Suzuki, N.","Novel, diverse RNA viruses from Mediterranean isolates of the phytopathogenic  fungus, Rosellinia necatrix: insights into evolutionary biology of fungal  viruses.","Environmental microbiology","4","20","1464-1483","10.1111/1462-2920.14065 [doi]","10.1111/1462-2920.14065","Journal Article","2018","Apr","PubMed",2024-01-29
"Masuda, S., Suzuki, Y., Fujitani, Y., Mitsui, R., Nakagawa, T., Shintani, M., Tani, A.","Lanthanide-Dependent Regulation of Methylotrophy in Methylobacteriumaquaticum  Strain 22A.","mSphere","1","3",NA,"10.1128/mSphere.00462-17 [doi]","10.1128/mSphere.00462-17","Journal Article","2018","Jan-Feb","PubMed",2024-01-29
"Wei, J., Zheng, Y., Feng, H., Qu, H., Fan, X., Yamaji, N., Ma, J.F., Xu, G.","OsNRT2.4 encodes a dual-affinity nitrate transporter and functions in  nitrate-regulated root growth and nitrate distribution in rice.","Journal of experimental botany","5","69","1095-1107","10.1093/jxb/erx486 [doi]","10.1093/jxb/erx486","Journal Article","2018","Feb 23","PubMed",2024-01-29
"Oda, Y., Kobayashi, N.I., Tanoi, K., Ma, J.F., Itou, Y., Katsuhara, M., Itou, T., Horie, T.","T-DNA Tagging-Based Gain-of-Function of OsHKT1;4 Reinforces Na Exclusion from  Leaves and Stems but Triggers Na Toxicity in Roots of Rice Under Salt Stress.","International journal of molecular sciences","1","19",NA,"10.3390/ijms19010235 [doi]","10.3390/ijms19010235","Journal Article","2018","Jan 12","PubMed",2024-01-29
"Nguyen, Q., Iritani, A., Ohkita, S., Vu, B.V., Yokoya, K., Matsubara, A., Ikeda, K., Suzuki, N., Nakayashiki, H.","A fungal Argonaute interferes with RNA interference.","Nucleic acids research","5","46","2495-2508","10.1093/nar/gkx1301 [doi]","10.1093/nar/gkx1301","Journal Article","2018","Mar 16","PubMed",2024-01-29
"Yamatani, H., Kohzuma, K., Nakano, M., Takami, T., Kato, Y., Hayashi, Y., Monden, Y., Okumoto, Y., Abe, T., Kumamaru, T., Tanaka, A., Sakamoto, W., Kusaba, M.","Impairment of Lhca4, a subunit of LHCI, causes high accumulation of chlorophyll  and the stay-green phenotype in rice.","Journal of experimental botany","5","69","1027-1035","10.1093/jxb/erx468 [doi]","10.1093/jxb/erx468","Journal Article","2018","Feb 23","PubMed",2024-01-29
"Wahibah, N.N., Tsutsui, T., Tamaoki, D., Sato, K., Nishiuchi, T.","Expression of barley Glutathione S-Transferase13 gene reduces accumulation of  reactive oxygen species by trichothecenes and paraquat in Arabidopsis plants.","Plant biotechnology (Tokyo, Japan)","1","35","71-79","10.5511/plantbiotechnology.18.0205a [doi]","10.5511/plantbiotechnology.18.0205a","Journal Article","2018","","PubMed",2024-01-29
"Tsunemitsu, Y., Yamaji, N., Ma, J.F., Kato, S., Iwasaki, K., Ueno, D.","Rice reduces Mn uptake in response to Mn stress.","Plant signaling & behavior","1","13","e1422466","10.1080/15592324.2017.1422466 [doi]","10.1080/15592324.2017.1422466","Journal Article","2018","Jan 2","PubMed",2024-01-29
"Shao, J.F., Yamaji, N., Liu, X.W., Yokosho, K., Shen, R.F., Ma, J.F.","Preferential Distribution of Boron to Developing Tissues Is Mediated by the  Intrinsic Protein OsNIP3.","Plant physiology","2","176","1739-1750","10.1104/pp.17.01641 [doi]","10.1104/pp.17.01641","Journal Article","2018","Feb","PubMed",2024-01-29
"Vainio, E.J., Chiba, S., Ghabrial, S.A., Maiss, E., Roossinck, M., Sabanadzovic, S., Suzuki, N., Xie, J., Nibert, M., Ictv Report Consortium, NA.","ICTV Virus Taxonomy Profile: Partitiviridae.","The Journal of general virology","1","99","17-18","10.1099/jgv.0.000985 [doi]","10.1099/jgv.0.000985","Journal Article","2018","Jan","PubMed",2024-01-29
"Hisano, S., Zhang, R., Faruk, M.I., Kondo, H., Suzuki, N.","A neo-virus lifestyle exhibited by a (+)ssRNA virus hosted in an unrelated dsRNA  virus: Taxonomic and evolutionary considerations.","Virus research",NA,"244","75-83","S0168-1702(17)30533-6 [pii]","10.1016/j.virusres.2017.11.006","Journal Article","2018","Jan 15","PubMed",2024-01-29
"Saito, M., Tanaka, T., Sato, K., Vrinten, P., Nakamura, T.","A single nucleotide polymorphism in the ""Fra"" gene results in fractured starch  granules in barley.","TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik","2","131","353-364","10.1007/s00122-017-3006-1 [doi]","10.1007/s00122-017-3006-1","Journal Article","2018","Feb","PubMed",2024-01-29
"Kouzai, Y., Kimura, M., Watanabe, M., Kusunoki, K., Osaka, D., Suzuki, T., Matsui, H., Yamamoto, M., Ichinose, Y., Toyoda, K., Matsuura, T., Mori, I.C., Hirayama, T., Minami, E., Nishizawa, Y., Inoue, K., Onda, Y., Mochida, K., Noutoshi, Y.","Salicylic acid-dependent immunity contributes to resistance against Rhizoctonia  solani, a necrotrophic fungal agent of sheath blight, in rice and Brachypodium  distachyon.","The New phytologist","2","217","771-783","10.1111/nph.14849 [doi]","10.1111/nph.14849","Journal Article","2018","Jan","PubMed",2024-01-29
"Kariya, K., Tsuchiya, Y., Sasaki, T., Yamamoto, Y.","Aluminium-induced cell death requires upregulation of NtVPE1 gene coding vacuolar  processing enzyme in tobacco (Nicotiana tabacum L.).","Journal of inorganic biochemistry",NA,"181","152-161","S0162-0134(17)30475-0 [pii]","10.1016/j.jinorgbio.2017.09.008","Journal Article","2018","Apr","PubMed",2024-01-29
"Matsumura, M., Sanada-Morimura, S., Otuka, A., Sonoda, S., Van Thanh, D., Van Chien, H., Van Tuong, P., Loc, P.M., Liu, Z., Zhu, Z., Li, J., Wu, G., Huang, S.","Insecticide susceptibilities of the two rice planthoppers Nilaparvata lugens and  Sogatella furcifera in East Asia, the Red River Delta, and the Mekong Delta.","Pest management science","2","74","456-464","10.1002/ps.4729 [doi]","10.1002/ps.4729","Journal Article","2018","Feb","PubMed",2024-01-29
"Iida, M., Takano, T., Matsuura, T., Mori, I.C., Takagi, S.","Circumnutation and distribution of phytohormones in Vigna angularis epicotyls.","Journal of plant research","1","131","165-178","10.1007/s10265-017-0972-y [doi]","10.1007/s10265-017-0972-y","Journal Article","2018","Jan","PubMed",2024-01-29
"Bettembourg, M., Dal-Soglio, M., Bureau, C., Vernet, A., Dardoux, A., Portefaix, M., Bes, M., Meynard, D., Mieulet, D., Cayrol, B., Perin, C., Courtois, B., Ma, J.F., Dievart, A.","Root cone angle is enlarged in docs1 LRR-RLK mutants in rice.","Rice (New York, N.Y.)","1","10","50","10.1186/s12284-017-0190-1 [doi]","10.1186/s12284-017-0190-1","Journal Article","2017","Dec 15","PubMed",2024-01-29
"Koda, S., Onda, Y., Matsui, H., Takahagi, K., Yamaguchi-Uehara, Y., Shimizu, M., Inoue, K., Yoshida, T., Sakurai, T., Honda, H., Eguchi, S., Nishii, R., Mochida, K.","Diurnal Transcriptome and Gene Network Represented through Sparse Modeling in  Brachypodium distachyon.","Frontiers in plant science",NA,"8","2055","10.3389/fpls.2017.02055 [doi]","10.3389/fpls.2017.02055","Journal Article","2017","","PubMed",2024-01-29
"Mata, C.P., Luque, D., Gomez-Blanco, J., Rodriguez, J.M., Gonzalez, J.M., Suzuki, N., Ghabrial, S.A., Carrascosa, J.L., Trus, B.L., Caston, J.R.","Acquisition of functions on the outer capsid surface during evolution of  double-stranded RNA fungal viruses.","PLoS pathogens","12","13","e1006755","10.1371/journal.ppat.1006755 [doi]","10.1371/journal.ppat.1006755","Comparative Study","2017","Dec","PubMed",2024-01-29
"Nakamura, S., Pourkheirandish, M., Morishige, H., Sameri, M., Sato, K., Komatsuda, T.","Quantitative Trait Loci and Maternal Effects Affecting the Strong Grain Dormancy  of Wild Barley (Hordeum vulgare ssp. spontaneum).","Frontiers in plant science",NA,"8","1840","10.3389/fpls.2017.01840 [doi]","10.3389/fpls.2017.01840","Journal Article","2017","","PubMed",2024-01-29
"Deshmukh, R.K., Ma, J.F., Belanger, R.R.","Editorial: Role of Silicon in Plants.","Frontiers in plant science",NA,"8","1858","10.3389/fpls.2017.01858 [doi]","10.3389/fpls.2017.01858","Editorial","2017","","PubMed",2024-01-29
"Li, C., Chen, G., Mishina, K., Yamaji, N., Ma, J.F., Yukuhiro, F., Tagiri, A., Liu, C., Pourkheirandish, M., Anwar, N., Ohta, M., Zhao, P., Lundqvist, U., Li, X., Komatsuda, T.","A GDSL-motif esterase/acyltransferase/lipase is responsible for leaf water  retention in barley.","Plant direct","5","1","e00025","10.1002/pld3.25 [doi]","10.1002/pld3.25","Journal Article","2017","Nov","PubMed",2024-01-29
"Salesse, C., Sharwood, R., Sakamoto, W., Stern, D.","The Rubisco Chaperone BSD2 May Regulate Chloroplast Coverage in Maize Bundle  Sheath Cells.","Plant physiology","4","175","1624-1633","10.1104/pp.17.01346 [doi]","10.1104/pp.17.01346","Journal Article","2017","Dec","PubMed",2024-01-29
"Andika, I.B., Wei, S., Cao, C., Salaipeth, L., Kondo, H., Sun, L.","Phytopathogenic fungus hosts a plant virus: A naturally occurring cross-kingdom  viral infection.","Proceedings of the National Academy of Sciences of the United States of America","46","114","12267-12272","10.1073/pnas.1714916114 [doi]","10.1073/pnas.1714916114","Journal Article","2017","Nov 14","PubMed",2024-01-29
"Ishikawa, R., Iwata, M., Taniko, K., Monden, G., Miyazaki, N., Orn, C., Tsujimura, Y., Yoshida, S., Ma, J.F., Ishii, T.","Detection of quantitative trait loci controlling grain zinc concentration using  Australian wild rice, Oryza meridionalis, a potential genetic resource for  biofortification of rice.","PloS one","10","12","e0187224","10.1371/journal.pone.0187224 [doi]","10.1371/journal.pone.0187224","Journal Article","2017","","PubMed",2024-01-29
"Feng Shao, J., Che, J., Yamaji, N., Fang Shen, R., Feng Ma, J.","Silicon reduces cadmium accumulation by suppressing expression of transporter  genes involved in cadmium uptake and translocation in rice.","Journal of experimental botany","20","68","5641-5651","10.1093/jxb/erx364 [doi]","10.1093/jxb/erx364","Journal Article","2017","Nov 28","PubMed",2024-01-29
"Lei, G.J., Yokosho, K., Yamaji, N., Ma, J.F.","Two MATE Transporters with Different Subcellular Localization are Involved in Al  Tolerance in Buckwheat.","Plant & cell physiology","12","58","2179-2189","10.1093/pcp/pcx152 [doi]","10.1093/pcp/pcx152","Journal Article","2017","Dec 1","PubMed",2024-01-29
"Seoane, S., Hyodo, K., Ueki, S.","Chloroplast Genome Sequences of Seven Strains of the Bloom-Forming Raphidophyte  Heterosigma akashiwo.","Genome announcements","41","5",NA,"10.1128/genomeA.01030-17 [doi]","10.1128/genomeA.01030-17","Journal Article","2017","Oct 12","PubMed",2024-01-29
"Bowman, J.L., Kohchi, T., Yamato, K.T., Jenkins, J., Shu, S., Ishizaki, K., Yamaoka, S., Nishihama, R., Nakamura, Y., Berger, F., Adam, C., Aki, S.S., Althoff, F., Araki, T., Arteaga-Vazquez, M.A., Balasubrmanian, S., Barry, K., Bauer, D., Boehm, C.R., Briginshaw, L., Caballero-Perez, J., Catarino, B., Chen, F., Chiyoda, S., Chovatia, M., Davies, K.M., Delmans, M., Demura, T., Dierschke, T., Dolan, L., Dorantes-Acosta, A.E., Eklund, D.M., Florent, S.N., Flores-Sandoval, E., Fujiyama, A., Fukuzawa, H., Galik, B., Grimanelli, D., Grimwood, J., Grossniklaus, U., Hamada, T., Haseloff, J., Hetherington, A.J., Higo, A., Hirakawa, Y., Hundley, H.N., Ikeda, Y., Inoue, K., Inoue, S., Ishida, S., Jia, Q., Kakita, M., Kanazawa, T., Kawai, Y., Kawashima, T., Kennedy, M., Kinose, K., Kinoshita, T., Kohara, Y., Koide, E., Komatsu, K., Kopischke, S., Kubo, M., Kyozuka, J., Lagercrantz, U., Lin, S., Lindquist, E., Lipzen, A.M., Lu, C., De Luna, E., Martienssen, R.A., Minamino, N., Mizutani, M., Mizutani, M., Mochizuki, N., Monte, I., Mosher, R., Nagasaki, H., Nakagami, H., Naramoto, S., Nishitani, K., Ohtani, M., Okamoto, T., Okumura, M., Phillips, J., Pollak, B., Reinders, A., Rovekamp, M., Sano, R., Sawa, S., Schmid, M.W., Shirakawa, M., Solano, R., Spunde, A., Suetsugu, N., Sugano, S., Sugiyama, A., Sun, R., Suzuki, Y., Takenaka, M., Takezawa, D., Tomogane, H., Tsuzuki, M., Ueda, T., Umeda, M., Ward, J.M., Watanabe, Y., Yazaki, K., Yokoyama, R., Yoshitake, Y., Yotsui, I., Zachgo, S., Schmutz, J.","Insights into Land Plant Evolution Garnered from the Marchantia polymorpha  Genome.","Cell","2","171","287-304.e15","S0092-8674(17)31124-8 [pii]","10.1016/j.cell.2017.09.030","Journal Article","2017","Oct 5","PubMed",2024-01-29
"Tzin, V., Hojo, Y., Strickler, S.R., Bartsch, L.J., Archer, C.M., Ahern, K.R., Zhou, S., Christensen, S.A., Galis, I., Mueller, L.A., Jander, G.","Rapid defense responses in maize leaves induced by Spodoptera exigua caterpillar  feeding.","Journal of experimental botany","16","68","4709-4723","10.1093/jxb/erx274 [doi]","10.1093/jxb/erx274","Journal Article","2017","Jul 20","PubMed",2024-01-29
"Li, L., Andika, I.B., Xu, Y., Zhang, Y., Xin, X., Hu, L., Sun, Z., Hong, G., Chen, Y., Yan, F., Yang, J., Li, J., Chen, J.","Differential Characteristics of Viral siRNAs between Leaves and Roots of Wheat  Plants Naturally Infected with Wheat Yellow Mosaic Virus, a Soil-Borne Virus.","Frontiers in microbiology",NA,"8","1802","10.3389/fmicb.2017.01802 [doi]","10.3389/fmicb.2017.01802","Journal Article","2017","","PubMed",2024-01-29
